element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
Al,PSL-PAW-v1-low,3,30,30,0.008614391256962221,0.008614391256962221,0.04,0.08,0.09,0.03,0.12,0.08,0.21,0.1,0.04,0.15,13
Al,PSL-US-v1-high,3,30,30,0.024937211491019993,0.024937211491019993,0.11,0.13,0.14,0.08,0.02,0.15,0.4,0.07,0.2,0.02,13
Al,JTH-1.1-std,3,30,30,0.056653198213058885,0.056653198213058885,0.08,0.17,0.17,0.03,0.22,0.17,0.18,0.2,0.08,0.23,13
Al,GBRV-1.X,3,30,30,0.06390846956635222,0.06390846956635222,0.19,0.07,0.02,0.28,0.03,0.23,0.43,0.12,0.24,0.07,13
Al,SPMS,3,30,30,0.09346964206915553,0.09346964206915553,0.23,0.34,0.33,0.15,0.11,0.13,0.25,0.21,0.22,0.02,13
Al,DOJO-041-std,3,30,30,0.10072643432823776,0.10072643432823776,0.26,0.37,0.36,0.15,0.26,0.09,0.06,0.34,0.02,0.14,13
Al,DOJO-041-str,3,30,30,0.10072643432823776,0.10072643432823776,0.26,0.37,0.36,0.15,0.26,0.09,0.06,0.34,0.02,0.14,13
Al,PSL-US-v0.x,3,30,30,0.10512561394496113,0.10512561394496113,0.21,0.27,0.27,0.21,0.2,0.17,0.26,0.22,0.17,0.15,13
Al,SG15,11,60,65,0.06329121081395778,0.36329121081395777,0.13,0.27,0.21,0.07,0.03,0.19,0.17,0.2,0.17,0.21,13
Al,PSL-PAW-v0.x,3,,,0.12050285406932554,,0.15,0.24,0.24,0.12,0.25,0.26,0.3,0.23,0.26,0.23,13
Si,PSL-US-v1-high,4,30,30,0.0,0.0,0.04,0.05,0.08,0.03,0.03,0.03,0.2,0.03,0.01,0.08,14
Si,PSL-PAW-v1-high,4,30,30,0.00025449331085777697,0.00025449331085777697,0.08,0.1,0.14,0.05,0.06,0.02,0.04,0.05,0.01,0.07,14
Si,SPMS,4,30,30,0.00455509577856111,0.00455509577856111,0.07,0.04,0.05,0.06,0.01,0.14,0.29,0.01,0.11,0.03,14
Si,DOJO-041-std,4,30,30,0.004711754474207775,0.004711754474207775,0.06,0.04,0.05,0.06,0.01,0.14,0.28,0.01,0.11,0.03,14
Si,DOJO-041-str,4,30,30,0.004711784200293331,0.004711784200293331,0.06,0.04,0.05,0.06,0.01,0.14,0.28,0.01,0.11,0.03,14
Si,GBRV-1.X,4,30,30,0.015868348500264445,0.015868348500264445,0.11,0.13,0.15,0.12,0.07,0.1,0.09,0.08,0.15,0.14,14
Si,PSL-PAW-v0.x,4,30,30,0.028641716355603322,0.028641716355603322,0.14,0.18,0.22,0.18,0.12,0.06,0.1,0.13,0.04,0.08,14
Si,SG15,4,30,30,0.06703764109396333,0.06703764109396333,0.2,0.05,0.07,0.29,0.09,0.27,0.56,0.13,0.22,0.07,14
Si,JTH-1.1-std,4,,,,,,,,,,,,,,,14
Si,PSL-PAW-v1-low,4,,,0.0043724392780855525,,0.1,0.13,0.16,0.09,0.09,0.1,0.1,0.1,0.07,0.09,14
Si,PSL-US-v0.x,4,,,0.014765161874003332,,0.1,0.15,0.2,0.15,0.1,0.04,0.02,0.11,0.08,0.11,14
Si,PSL-US-v1-low,4,,,0.005443881806623332,,0.1,0.12,0.15,0.12,0.07,0.05,0.01,0.07,0.09,0.11,14
P,PSL-US-v1-high,5,30,30,0.0,0.0,0.05,0.04,0.04,0.08,0.01,0.04,0.32,0.01,0.02,0.06,15
P,GBRV-1.X,5,30,30,0.0008366969508199993,0.0008366969508199993,0.11,0.1,0.08,0.09,0.04,0.07,0.08,0.07,0.07,0.12,15
P,DOJO-041-std,5,30,30,0.004685692648489997,0.004685692648489997,0.09,0.04,0.04,0.14,0.01,0.1,0.36,0.01,0.06,0.06,15
